"","Institution","Year","Month","use_of_force","inmate_count","uof_per_1000"
"297","CCI",2012,"Feb",10,4659,2.14638334406525
"298","COR",2012,"Feb",22,4430,4.96613995485327
"299","HDSP",2012,"Feb",33,3874,8.51832731027362
"300","KVSP",2012,"Feb",35,4210,8.31353919239905
"301","LAC",2012,"Feb",35,3727,9.39093104373491
"302","PBSP",2012,"Feb",18,3076,5.851755526658
"303","SAC",2012,"Feb",23,2811,8.18214158662398
"304","SVSP",2012,"Feb",45,3741,12.0288692862871
"305","CCI",2012,"Mar",20,4728,4.23011844331641
"306","COR",2012,"Mar",25,4504,5.550621669627
"307","HDSP",2012,"Mar",18,3786,4.75435816164818
"308","KVSP",2012,"Mar",34,4174,8.14566363200767
"309","LAC",2012,"Mar",36,3894,9.24499229583975
"310","PBSP",2012,"Mar",19,3091,6.14687803299903
"311","SAC",2012,"Mar",33,2786,11.8449389806174
"312","SVSP",2012,"Mar",48,3532,13.5900339750849
"313","CCI",2012,"Apr",12,4636,2.58843830888697
"314","COR",2012,"Apr",29,4558,6.3624396665204
"315","HDSP",2012,"Apr",32,3722,8.59752821063944
"316","KVSP",2012,"Apr",38,4179,9.09308446996889
"317","LAC",2012,"Apr",31,3936,7.8760162601626
"318","PBSP",2012,"Apr",13,3078,4.22352176738142
"319","SAC",2012,"Apr",40,2750,14.5454545454545
"320","SVSP",2012,"Apr",40,3538,11.3058224985868
"321","CCI",2012,"May",15,4557,3.2916392363397
"322","COR",2012,"May",36,4658,7.7286389008158
"323","HDSP",2012,"May",39,3754,10.3889184869473
"324","KVSP",2012,"May",30,4196,7.14966634890372
"325","LAC",2012,"May",46,3950,11.6455696202532
"326","PBSP",2012,"May",22,3113,7.06713780918728
"327","SAC",2012,"May",26,2700,9.62962962962963
"328","SVSP",2012,"May",52,3534,14.7142048670062
"329","CCI",2012,"Jun",18,4607,3.90709789450836
"330","COR",2012,"Jun",26,4657,5.58299334335409
"331","HDSP",2012,"Jun",30,3734,8.03427959292983
"332","KVSP",2012,"Jun",35,4186,8.36120401337793
"333","LAC",2012,"Jun",36,3938,9.14169629253428
"334","PBSP",2012,"Jun",28,3177,8.81334592382751
"335","SAC",2012,"Jun",53,2720,19.4852941176471
