Institution,Year,Month,Use of Force,Inmate Count
SATF,2013,Dec,21,5503
SVSP,2013,Dec,35,3377
CCI,2014,Jan,17,4407
COR,2014,Jan,25,4371
HDSP,2014,Jan,30,3383
KVSP,2014,Jan,29,3682
LAC,2014,Jan,35,3692
PBSP,2014,Jan,10,2701
SAC,2014,Jan,47,2184
SATF,2014,Jan,22,5462
SVSP,2014,Jan,27,3388
CCI,2014,Feb,15,4361
COR,2014,Feb,21,4371
HDSP,2014,Feb,24,3436
KVSP,2014,Feb,26,3749
LAC,2014,Feb,32,3669
PBSP,2014,Feb,9,2717
SAC,2014,Feb,35,2210
SATF,2014,Feb,23,5550
SVSP,2014,Feb,31,3312
CCI,2014,Mar,21,4359
COR,2014,Mar,32,4305
HDSP,2014,Mar,28,3390
KVSP,2014,Mar,39,3775
LAC,2014,Mar,30,3599
PBSP,2014,Mar,3,2754
SAC,2014,Mar,34,2189
SATF,2014,Mar,14,5576
SVSP,2014,Mar,43,3354
CCI,2014,Apr,10,4403
COR,2014,Apr,25,4339
HDSP,2014,Apr,10,3318
KVSP,2014,Apr,27,3792
LAC,2014,Apr,38,3572
PBSP,2014,Apr,10,2768
SAC,2014,Apr,26,2253
SATF,2014,Apr,17,5447
SVSP,2014,Apr,37,3358
CCI,2014,May,17,4420
COR,2014,May,25,4352
HDSP,2014,May,28,3313
KVSP,2014,May,32,3855
LAC,2014,May,41,3562
PBSP,2014,May,11,2789
SAC,2014,May,44,2247
SATF,2014,May,18,5416
SVSP,2014,May,44,3352
CCI,2014,Jun,13,4395
COR,2014,Jun,24,4287
HDSP,2014,Jun,28,3307
KVSP,2014,Jun,19,3847
LAC,2014,Jun,39,3560
PBSP,2014,Jun,13,2821
SAC,2014,Jun,32,2262
SATF,2014,Jun,15,5362
SVSP,2014,Jun,42,3357
CCI,2014,Jul,15,4408
COR,2014,Jul,20,4335
HDSP,2014,Jul,20,3343
KVSP,2014,Jul,24,3835
LAC,2014,Jul,37,3607
PBSP,2014,Jul,8,2821
SAC,2014,Jul,61,2231
SATF,2014,Jul,14,5412
SVSP,2014,Jul,24,3367
CCI,2014,Aug,18,4482
COR,2014,Aug,29,4314
HDSP,2014,Aug,22,3437
KVSP,2014,Aug,31,3811
LAC,2014,Aug,44,3593
PBSP,2014,Aug,9,2857
SAC,2014,Aug,52,2216
SATF,2014,Aug,19,5383
SVSP,2014,Aug,41,3457
CCI,2014,Sep,17,4482
COR,2014,Sep,32,4375
HDSP,2014,Sep,22,3474
KVSP,2014,Sep,28,3835
LAC,2014,Sep,19,3582
PBSP,2014,Sep,5,2830
SAC,2014,Sep,53,2211
SATF,2014,Sep,20,5368
SVSP,2014,Sep,41,3500
CCI,2014,Oct,7,4398
COR,2014,Oct,30,4381
HDSP,2014,Oct,20,3542
KVSP,2014,Oct,27,3835
LAC,2014,Oct,45,3548
PBSP,2014,Oct,6,2785
SAC,2014,Oct,43,2165
SATF,2014,Oct,13,5420
SVSP,2014,Oct,49,3485
CCI,2014,Nov,8,4404
COR,2014,Nov,22,4369
HDSP,2014,Nov,18,3528
KVSP,2014,Nov,17,3832
LAC,2014,Nov,41,3544
PBSP,2014,Nov,5,2785
SAC,2014,Nov,41,2175
SATF,2014,Nov,21,5402
SVSP,2014,Nov,49,3489
CCI,2014,Dec,8,4329
COR,2014,Dec,29,4219
HDSP,2014,Dec,23,3578
KVSP,2014,Dec,18,3795
LAC,2014,Dec,33,3513
PBSP,2014,Dec,5,2696
SAC,2014,Dec,44,2196
SATF,2014,Dec,19,5421
SVSP,2014,Dec,34,3566
CCI,2015,Jan,7,4189
COR,2015,Jan,18,4077
HDSP,2015,Jan,20,3494
KVSP,2015,Jan,25,3774
LAC,2015,Jan,32,3512
PBSP,2015,Jan,4,2631
SAC,2015,Jan,39,2177
SATF,2015,Jan,13,5370
SVSP,2015,Jan,40,3592
CCI,2015,Feb,12,4250
COR,2015,Feb,17,4000
HDSP,2015,Feb,13,3478
KVSP,2015,Feb,32,3707
LAC,2015,Feb,42,3481
PBSP,2015,Feb,7,2630
SAC,2015,Feb,32,2181
SATF,2015,Feb,15,5401
SVSP,2015,Feb,24,3583
CCI,2015,Mar,13,4086
COR,2015,Mar,26,4093
HDSP,2015,Mar,28,3391
KVSP,2015,Mar,21,3732
LAC,2015,Mar,37,3486
PBSP,2015,Mar,6,2626
SAC,2015,Mar,57,2228
SATF,2015,Mar,14,5416
SVSP,2015,Mar,39,3574
CCI,2015,Apr,5,3838
COR,2015,Apr,29,4324
HDSP,2015,Apr,15,3319
KVSP,2015,Apr,27,3747
LAC,2015,Apr,31,3473
PBSP,2015,Apr,8,2680
SAC,2015,Apr,38,2225
SATF,2015,Apr,17,5515
SVSP,2015,Apr,41,3670
CCI,2015,May,12,3818
COR,2015,May,40,4341
HDSP,2015,May,24,3307
KVSP,2015,May,25,3716
LAC,2015,May,33,3503
PBSP,2015,May,11,2693
SAC,2015,May,58,2266
SATF,2015,May,15,5611
SVSP,2015,May,36,3723
CCI,2015,Jun,14,3971
COR,2015,Jun,20,4409
HDSP,2015,Jun,23,3311
KVSP,2015,Jun,23,3630
LAC,2015,Jun,36,3484
PBSP,2015,Jun,17,2739
SAC,2015,Jun,41,2302
SATF,2015,Jun,15,5565
SVSP,2015,Jun,29,3677
CCI,2015,Jul,17,3928
COR,2015,Jul,38,4406
HDSP,2015,Jul,21,3385
KVSP,2015,Jul,34,3605
LAC,2015,Jul,45,3516
PBSP,2015,Jul,13,2724
SAC,2015,Jul,54,2317
SATF,2015,Jul,35,5533
SVSP,2015,Jul,37,3718
CCI,2015,Aug,12,3891
COR,2015,Aug,14,4344
HDSP,2015,Aug,28,3277
KVSP,2015,Aug,33,3694
LAC,2015,Aug,44,3485
