Institution,Year,Month,Use of Force,Inmate Count
LAC,2014,Sep,19,3582
PBSP,2014,Sep,5,2830
SAC,2014,Sep,53,2211
SATF,2014,Sep,20,5368
SVSP,2014,Sep,41,3500
CAL,2009,Oct,18,4310
CEN,2009,Oct,18,4623
CMC,2009,Oct,12,6665
CMF,2009,Oct,23,2948
MCSP,2009,Oct,12,3752
PVSP,2009,Oct,18,4985
SATF,2009,Oct,16,6953
CCI,2009,Oct,21,5962
COR,2009,Oct,21,5235
HDSP,2009,Oct,28,4472
KVSP,2009,Oct,21,4746
PBSP,2009,Oct,8,3210
SAC,2009,Oct,37,2904
SVSP,2009,Oct,37,3760
CIM,2009,Oct,15,5588
DVI,2009,Oct,17,3842
LAC,2009,Oct,15,4691
NKSP,2009,Oct,24,5472
RJD,2009,Oct,42,4628
SQ,2009,Oct,23,5141
WSP,2009,Oct,33,5984
CCI,2010,Oct,28,5816
COR,2010,Oct,23,5085
HDSP,2010,Oct,20,4275
KVSP,2010,Oct,36,4680
PBSP,2010,Oct,15,3225
SAC,2010,Oct,33,2948
SVSP,2010,Oct,54,3742
CIM,2010,Oct,27,5390
DVI,2010,Oct,13,3863
LAC,2010,Oct,38,4505
NKSP,2010,Oct,23,5330
RJD,2010,Oct,42,4445
SQ,2010,Oct,22,5261
WSP,2010,Oct,28,5904
CAL,2010,Oct,17,4125
CEN,2010,Oct,21,3989
CMC,2010,Oct,13,6450
CMF,2010,Oct,11,2578
MCSP,2010,Oct,11,3681
PVSP,2010,Oct,16,4619
SATF,2010,Oct,27,6446
CAL,2011,Oct,15,4351
CCI,2011,Oct,27,5509
CEN,2011,Oct,13,4166
COR,2011,Oct,26,4990
HDSP,2011,Oct,33,4133
KVSP,2011,Oct,43,4629
MCSP,2011,Oct,5,3609
PBSP,2011,Oct,12,3228
SAC,2011,Oct,43,2836
SATF,2011,Oct,21,6295
SVSP,2011,Oct,39,3982
CIM,2011,Oct,23,5693
DVI,2011,Oct,21,3616
LAC,2011,Oct,37,4322
NKSP,2011,Oct,35,4889
RJD,2011,Oct,34,4149
SQ,2011,Oct,24,4249
WSP,2011,Oct,35,5137
CCI,2012,Oct,15,4676
COR,2012,Oct,28,4703
HDSP,2012,Oct,34,3531
KVSP,2012,Oct,24,3975
LAC,2012,Oct,30,3836
PBSP,2012,Oct,17,3071
SAC,2012,Oct,36,2572
SATF,2012,Oct,9,5679
SVSP,2012,Oct,33,3559
CCI,2013,Oct,15,4597
COR,2013,Oct,30,4409
HDSP,2013,Oct,14,3384
KVSP,2013,Oct,27,3719
LAC,2013,Oct,27,3790
PBSP,2013,Oct,16,2669
SAC,2013,Oct,28,2104
SATF,2013,Oct,14,5588
SVSP,2013,Oct,41,3473
CCI,2014,Oct,7,4398
